Index,Name,OVR,Position,Alternative positions,Age,Nation,League,Team
1,Kylian Mbappé,91,ST,LW,25,France,LALIGA EA SPORTS,Real Madrid
2,Rodri,91,CDM,CM,28,Spain,Premier League,Manchester City
3,Erling Haaland,91,ST,,24,Norway,Premier League,Manchester City
4,Jude Bellingham,90,CAM,CM,21,England,LALIGA EA SPORTS,Real Madrid
5,Vini Jr.,90,LW,"ST, LM",24,Brazil,LALIGA EA SPORTS,Real Madrid
6,Kevin De Bruyne,90,CM,CAM,33,Belgium,Premier League,Manchester City
7,Harry Kane,90,ST,,31,England,Bundesliga,FC Bayern München
8,Martin Ødegaard,89,CM,CAM,25,Norway,Premier League,Arsenal
9,Gianluigi Donnarumma,89,GK,,25,Italy,Ligue 1 McDonald's,Paris SG
10,Alisson,89,GK,,31,Brazil,Premier League,Liverpool
11,Thibaut Courtois,89,GK,,32,Belgium,LALIGA EA SPORTS,Real Madrid
12,Lautaro Martínez,89,ST,,27,Argentina,Serie A Enilive,Lombardia FC
13,Virgil van Dijk,89,CB,,33,Holland,Premier League,Liverpool
14,Marc-André ter Stegen,89,GK,,32,Germany,LALIGA EA SPORTS,FC Barcelona
15,Mohamed Salah,89,RW,RM,32,Egypt,Premier League,Liverpool
16,Phil Foden,88,RW,"LW, CAM, RM",24,England,Premier League,Manchester City
17,Lionel Messi,88,RW,"ST, CAM, RM",37,Argentina,MLS,Inter Miami CF
18,Antoine Griezmann,88,ST,,33,France,LALIGA EA SPORTS,Atlético de Madrid
19,Rúben Dias,88,CB,,27,Portugal,Premier League,Manchester City
20,Robert Lewandowski,88,ST,,36,Poland,LALIGA EA SPORTS,FC Barcelona
21,Federico Valverde,88,CM,RM,26,Uruguay,LALIGA EA SPORTS,Real Madrid
22,Ederson,88,GK,,31,Brazil,Premier League,Manchester City
23,Bernardo Silva,88,CM,RW,30,Portugal,Premier League,Manchester City
24,Jan Oblak,88,GK,,31,Slovenia,LALIGA EA SPORTS,Atlético de Madrid
25,Antonio Rüdiger,88,CB,,31,Germany,LALIGA EA SPORTS,Real Madrid
26,Florian Wirtz,88,CAM,LM,21,Germany,Bundesliga,Leverkusen
27,Gregor Kobel,88,GK,,26,Switzerland,Bundesliga,Borussia Dortmund
28,William Saliba,87,CB,,23,France,Premier League,Arsenal
29,Victor Osimhen,87,ST,,25,Nigeria,Serie A Enilive,SSC Napoli
30,Jamal Musiala,87,CAM,"LM, CM",21,Germany,Bundesliga,FC Bayern München
31,Bukayo Saka,87,RW,RM,23,England,Premier League,Arsenal
32,Paulo Dybala,87,CAM,ST,30,Argentina,Serie A Enilive,AS Roma
33,Theo Hernández,87,LB,LM,26,France,Serie A Enilive,Milano FC
34,Neymar Jr,87,LW,"CAM, LM",32,Brazil,ROSHN Saudi League,Al Hilal
35,Declan Rice,87,CDM,CM,25,England,Premier League,Arsenal
36,Frenkie de Jong,87,CM,CDM,27,Holland,LALIGA EA SPORTS,FC Barcelona
37,Mike Maignan,87,GK,,29,France,Serie A Enilive,Milano FC
38,Bruno Fernandes,87,CAM,CM,30,Portugal,Premier League,Man Utd
39,Heung Min Son,87,ST,LM,32,Korea Republic,Premier League,Spurs
40,Marquinhos,87,CB,,30,Brazil,Ligue 1 McDonald's,Paris SG
41,Alessandro Bastoni,87,CB,,25,Italy,Serie A Enilive,Lombardia FC
42,İlkay Gündoğan,87,CM,CDM,33,Germany,Premier League,Manchester City
43,Emiliano Martínez,87,GK,,32,Argentina,Premier League,Aston Villa
44,Nicolò Barella,87,CM,CDM,27,Italy,Serie A Enilive,Lombardia FC
45,Yann Sommer,87,GK,,35,Switzerland,Serie A Enilive,Lombardia FC
46,Cristiano Ronaldo,86,ST,,39,Portugal,ROSHN Saudi League,Al Nassr
47,Gabriel,86,CB,,26,Brazil,Premier League,Arsenal
48,Granit Xhaka,86,CDM,CM,31,Switzerland,Bundesliga,Leverkusen
49,Rodrygo,86,RW,"ST, RM",23,Brazil,LALIGA EA SPORTS,Real Madrid
50,João Cancelo,86,LB,"RB, RM",30,Portugal,ROSHN Saudi League,Al Hilal
51,Rafael Leão,86,LW,"LM, ST",25,Portugal,Serie A Enilive,Milano FC
52,Grimaldo,86,LM,"LB, LW",28,Spain,Bundesliga,Leverkusen
53,Luka Modrić,86,CM,"CAM, CDM",39,Croatia,LALIGA EA SPORTS,Real Madrid
54,Alexis Mac Allister,86,CM,CDM,25,Argentina,Premier League,Liverpool
55,Carvajal,86,RB,,32,Spain,LALIGA EA SPORTS,Real Madrid
56,Ousmane Dembélé,86,RW,"CAM, RM",27,France,Ligue 1 McDonald's,Paris SG
57,Trent Alexander-Arnold,86,RB,,25,England,Premier League,Liverpool
58,Pedri,86,CM,LW,21,Spain,LALIGA EA SPORTS,FC Barcelona
59,Jonathan Tah,86,CB,,28,Germany,Bundesliga,Leverkusen
60,Karim Benzema,86,ST,,36,France,ROSHN Saudi League,Al Ittihad
61,Bremer,86,CB,,27,Brazil,Serie A Enilive,Juventus
62,Joshua Kimmich,86,RB,"CDM, CM",29,Germany,Bundesliga,FC Bayern München
63,Unai Simón,86,GK,,27,Spain,LALIGA EA SPORTS,Athletic Club
64,Manuel Neuer,86,GK,,38,Germany,Bundesliga,FC Bayern München
65,Hakan Çalhanoğlu,86,CDM,CM,30,Turkey,Serie A Enilive,Lombardia FC
66,David Alaba,85,CB,LB,32,Austria,LALIGA EA SPORTS,Real Madrid
67,Ronald Araujo,85,CB,RB,25,Uruguay,LALIGA EA SPORTS,FC Barcelona
68,Julian Brandt,85,CAM,"RM, CM",28,Germany,Bundesliga,Borussia Dortmund
69,Éder Militão,85,CB,,26,Brazil,LALIGA EA SPORTS,Real Madrid
70,Bruno Guimarães,85,CDM,CM,26,Brazil,Premier League,Newcastle Utd
71,Alexander Isak,85,ST,,24,Sweden,Premier League,Newcastle Utd
72,N'Golo Kanté,85,CDM,CM,33,France,ROSHN Saudi League,Al Ittihad
73,Jules Koundé,85,RB,CB,25,France,LALIGA EA SPORTS,FC Barcelona
74,Khvicha Kvaratskhelia,85,LW,"RW, LM",23,Georgia,Serie A Enilive,SSC Napoli
75,Vitinha,85,CM,CDM,24,Portugal,Ligue 1 McDonald's,Paris SG
76,James Maddison,85,CAM,RM,27,England,Premier League,Spurs
77,Riyad Mahrez,85,RM,RW,33,Algeria,ROSHN Saudi League,Al Ahli
78,Giorgi Mamardashvili,85,GK,,23,Georgia,LALIGA EA SPORTS,Valencia CF
79,Mikel Merino,85,CM,CAM,28,Spain,Premier League,Arsenal
80,Sergej Milinković-Savić,85,CM,CDM,29,Serbia,ROSHN Saudi League,Al Hilal
81,Loïs Openda,85,ST,,24,Belgium,Bundesliga,RB Leipzig
82,Palhinha,85,CDM,CM,29,Portugal,Bundesliga,FC Bayern München
83,Cole Palmer,85,RM,"CAM, RW",22,England,Premier League,Chelsea
84,Andrew Robertson,85,LB,,30,Scotland,Premier League,Liverpool
85,Leroy Sané,85,RM,"LM, RW",28,Germany,Bundesliga,FC Bayern München
86,Nico Schlotterbeck,85,CB,,24,Germany,Bundesliga,Borussia Dortmund
87,John Stones,85,CB,"CDM, RB",30,England,Premier League,Manchester City
88,Aurélien Tchouaméni,85,CDM,"CM, CB",24,France,LALIGA EA SPORTS,Real Madrid
89,Diogo Jota,85,ST,LW,27,Portugal,Premier League,Liverpool
90,Sandro Tonali,85,CDM,CM,24,Italy,Premier League,Newcastle Utd
91,Ollie Watkins,85,ST,,28,England,Premier League,Aston Villa
92,Nico Williams,85,LM,"RM, LW",22,Spain,LALIGA EA SPORTS,Athletic Club
93,Francesco Acerbi,84,CB,,36,Italy,Serie A Enilive,Lombardia FC
94,Manuel Akanji,84,CB,,29,Switzerland,Premier League,Manchester City
95,Nathan Aké,84,CB,LB,29,Holland,Premier League,Manchester City
96,Julián Álvarez,84,ST,CAM,24,Argentina,LALIGA EA SPORTS,Atlético de Madrid
97,Iago Aspas,84,ST,,37,Spain,LALIGA EA SPORTS,RC Celta
98,Yassine Bounou,84,GK,,33,Morocco,ROSHN Saudi League,Al Hilal
99,Federico Chiesa,84,RW,"LW, ST, RM",26,Italy,Premier League,Liverpool
100,Kingsley Coman,84,LM,"RM, LW",28,France,Bundesliga,FC Bayern München
101,Rúben Neves,84,CDM,CM,27,Portugal,ROSHN Saudi League,Al Hilal
102,Matthijs de Ligt,84,CB,,25,Holland,Premier League,Man Utd
103,Rodrigo De Paul,84,CM,CDM,30,Argentina,LALIGA EA SPORTS,Atlético de Madrid
104,Raphinha,84,RW,"LW, RM",27,Brazil,LALIGA EA SPORTS,FC Barcelona
105,Luis Díaz,84,LW,"RW, LM",27,Colombia,Premier League,Liverpool
106,Federico Dimarco,84,LB,LM,26,Italy,Serie A Enilive,Lombardia FC
107,Artem Dovbyk,84,ST,,27,Ukraine,Serie A Enilive,AS Roma
108,Jeremie Frimpong,84,RM,"RB, RW",23,Holland,Bundesliga,Leverkusen
109,Aleix García,84,CM,CDM,27,Spain,Bundesliga,Leverkusen
110,Jack Grealish,84,LW,LM,29,England,Premier League,Manchester City
111,Serhou Guirassy,84,ST,,28,Guinea,Bundesliga,Borussia Dortmund
112,Viktor Gyökeres,84,ST,LW,26,Sweden,Liga Portugal,Sporting CP
113,Achraf Hakimi,84,RB,,25,Morocco,Ligue 1 McDonald's,Paris SG
114,Lukáš Hrádecký,84,GK,,34,Finland,Bundesliga,Leverkusen
115,Kalidou Koulibaly,84,CB,,33,Senegal,ROSHN Saudi League,Al Hilal
116,Sadio Mané,84,LM,"RM, ST, LW",32,Senegal,ROSHN Saudi League,Al Nassr
117,Lisandro Martínez,84,CB,,26,Argentina,Premier League,Man Utd
118,Diogo Costa,84,GK,,24,Portugal,Liga Portugal,FC Porto
119,Ferland Mendy,84,LB,,29,France,LALIGA EA SPORTS,Real Madrid
120,Christopher Nkunku,84,CAM,ST,26,France,Premier League,Chelsea
121,Dani Olmo,84,CAM,CM,26,Spain,LALIGA EA SPORTS,FC Barcelona
122,Exequiel Palacios,84,CM,CDM,25,Argentina,Bundesliga,Leverkusen
123,Benjamin Pavard,84,CB,RB,28,France,Serie A Enilive,Lombardia FC
124,Álex Remiro,84,GK,,29,Spain,LALIGA EA SPORTS,Real Sociedad
125,Cristian Romero,84,CB,,26,Argentina,Premier League,Spurs
126,Marcel Sabitzer,84,CM,"CAM, CDM",30,Austria,Bundesliga,Borussia Dortmund
127,Casemiro,84,CDM,CM,32,Brazil,Premier League,Man Utd
128,Guglielmo Vicario,84,GK,,27,Italy,Premier League,Spurs
129,Dušan Vlahović,84,ST,,24,Serbia,Serie A Enilive,Juventus
130,Kyle Walker,84,RB,,34,England,Premier League,Manchester City
131,Benjamin White,84,RB,CB,26,England,Premier League,Arsenal
132,Marcos Acuña,83,LB,LM,32,Argentina,Libertadores,River Plate
133,Robert Andrich,83,CDM,"CM, CB",29,Germany,Bundesliga,Leverkusen
134,Ismaël Bennacer,83,CDM,"CM, CAM",26,Algeria,Serie A Enilive,Milano FC
135,Domenico Berardi,83,RW,RM,30,Italy,Serie BKT,Sassuolo
136,Eduardo Camavinga,83,CM,"CDM, LB",21,France,LALIGA EA SPORTS,Real Madrid
137,Yannick Carrasco,83,LW,LM,31,Belgium,ROSHN Saudi League,Al Shabab
138,Andreas Christensen,83,CB,CDM,28,Denmark,LALIGA EA SPORTS,FC Barcelona
139,Stefan de Vrij,83,CB,,32,Holland,Serie A Enilive,Lombardia FC
140,Ángel Di María,83,RM,"CAM, RW",36,Argentina,Liga Portugal,SL Benfica
141,Moussa Diaby,83,RM,"ST, CAM, RW",25,France,ROSHN Saudi League,Al Ittihad
142,Youssef En-Nesyri,83,ST,,27,Morocco,Trendyol Süper Lig,Fenerbahçe
143,Rafa,83,CAM,ST,31,Portugal,Trendyol Süper Lig,Beşiktaş
144,Cody Gakpo,83,ST,LW,25,Holland,Premier League,Liverpool
145,José María Giménez,83,CB,,29,Uruguay,LALIGA EA SPORTS,Atlético de Madrid
146,Olivier Giroud,83,ST,,37,France,MLS,LAFC
147,Leon Goretzka,83,CM,CDM,29,Germany,Bundesliga,FC Bayern München
148,Joško Gvardiol,83,LB,CB,22,Croatia,Premier League,Manchester City
149,Kai Havertz,83,ST,CM,25,Germany,Premier League,Arsenal
150,Lucas Hernández,83,CB,LB,28,France,Ligue 1 McDonald's,Paris SG
151,Mauro Icardi,83,ST,,31,Argentina,Trendyol Süper Lig,Galatasaray
152,Kim Min Jae,83,CB,,27,Korea Republic,Bundesliga,FC Bayern München
153,Ibrahima Konaté,83,CB,,25,France,Premier League,Liverpool
154,Teun Koopmeiners,83,CM,CAM,26,Holland,Serie A Enilive,Juventus
155,Mateo Kovačić,83,CM,CDM,30,Croatia,Premier League,Manchester City
156,Konrad Laimer,83,CDM,"CM, RB",27,Austria,Bundesliga,FC Bayern München
157,Aymeric Laporte,83,CB,,30,Spain,ROSHN Saudi League,Al Nassr
158,Robin Le Normand,83,CB,,27,Spain,LALIGA EA SPORTS,Atlético de Madrid
159,Marcos Llorente,83,RM,"RB, CM, RW",29,Spain,LALIGA EA SPORTS,Atlético de Madrid
160,Manuel Locatelli,83,CDM,CM,26,Italy,Serie A Enilive,Juventus
161,Donyell Malen,83,RM,"ST, LM, RW",25,Holland,Bundesliga,Borussia Dortmund
162,Gabriel Martinelli,83,LW,"RW, LM",23,Brazil,Premier League,Arsenal
163,Henrikh Mkhitaryan,83,CM,CAM,35,Armenia,Serie A Enilive,Lombardia FC
164,Morata,83,ST,,31,Spain,Serie A Enilive,Milano FC
165,Gerard Moreno,83,ST,"RW, CAM",32,Spain,LALIGA EA SPORTS,Villarreal CF
166,André Onana,83,GK,,28,Cameroon,Premier League,Man Utd
167,Willi Orban,83,CB,,31,Hungary,Bundesliga,RB Leipzig
168,Gavi,83,CM,LW,20,Spain,LALIGA EA SPORTS,FC Barcelona
169,Parejo,83,CM,CDM,35,Spain,LALIGA EA SPORTS,Villarreal CF
170,Lorenzo Pellegrini,83,CAM,CM,28,Italy,Serie A Enilive,AS Roma
171,Pedro Gonçalves,83,LW,"CAM, CM, LM",26,Portugal,Liga Portugal,Sporting CP
172,Jordan Pickford,83,GK,,30,England,Premier League,Everton
173,Nick Pope,83,GK,,32,England,Premier League,Newcastle Utd
174,Pedro Porro,83,RB,,25,Spain,Premier League,Spurs
175,Ivan Provedel,83,GK,,30,Italy,Serie A Enilive,Latium
176,Christian Pulisic,83,RW,"RM, LW",25,United States,Serie A Enilive,Milano FC
177,David Raya,83,GK,,28,Spain,Premier League,Arsenal
178,Koke,83,CDM,CM,32,Spain,LALIGA EA SPORTS,Atlético de Madrid
179,Guido Rodríguez,83,CDM,CM,29,Argentina,Premier League,West Ham
180,Alessio Romagnoli,83,CB,,29,Italy,Serie A Enilive,Latium
181,Xavi Simons,83,CAM,LW,21,Holland,Bundesliga,RB Leipzig
182,Douglas Luiz,83,CM,CDM,26,Brazil,Serie A Enilive,Juventus
183,Dušan Tadić,83,LM,LW,35,Serbia,Trendyol Süper Lig,Fenerbahçe
184,Edmond Tapsoba,83,CB,,25,Burkina Faso,Bundesliga,Leverkusen
185,Nuno Mendes,83,LB,,22,Portugal,Ligue 1 McDonald's,Paris SG
186,Marcus Thuram,83,ST,,27,France,Serie A Enilive,Lombardia FC
187,Fikayo Tomori,83,CB,,26,England,Serie A Enilive,Milano FC
188,Lucas Torreira,83,CDM,CM,28,Uruguay,Trendyol Süper Lig,Galatasaray
189,Kieran Trippier,83,RB,,33,England,Premier League,Newcastle Utd
190,Leandro Trossard,83,LW,"ST, LM",29,Belgium,Premier League,Arsenal
191,Viktor Tsygankov,83,RM,"CM, CAM, RW",26,Ukraine,LALIGA EA SPORTS,Girona FC
192,Mattia Zaccagni,83,LW,"CAM, LM",29,Italy,Serie A Enilive,Latium
193,Duván Zapata,83,ST,,33,Colombia,Serie A Enilive,Torino
194,Isco,82,CAM,"LM, CM",32,Spain,LALIGA EA SPORTS,Real Betis
195,Joelinton,82,CM,LW,28,Brazil,Premier League,Newcastle Utd
196,Pepê,82,CAM,"RM, LM",27,Brazil,Liga Portugal,FC Porto
197,Pierre-Emerick Aubameyang,82,ST,,35,Gabon,ROSHN Saudi League,Al Qadisiyah
198,Leon Bailey,82,RM,"ST, RW",27,Jamaica,Premier League,Aston Villa
199,Oliver Baumann,82,GK,,34,Germany,Bundesliga,TSG Hoffenheim
200,Victor Boniface,82,ST,,23,Nigeria,Bundesliga,Leverkusen
201,Sven Botman,82,CB,,24,Holland,Premier League,Newcastle Utd
202,Jarrod Bowen,82,RM,"ST, RW",27,England,Premier League,West Ham
203,Marcelo Brozović,82,CDM,CM,31,Croatia,ROSHN Saudi League,Al Nassr
204,Moisés Caicedo,82,CDM,CM,22,Ecuador,Premier League,Chelsea
205,Emre Can,82,CDM,CB,30,Germany,Bundesliga,Borussia Dortmund
206,Marco Carnesecchi,82,GK,,24,Italy,Serie A Enilive,Bergamo Calcio
207,Koen Casteels,82,GK,,32,Belgium,ROSHN Saudi League,Al Qadisiyah
208,Lucas Paquetá,82,LM,"CAM, LW",27,Brazil,Premier League,West Ham
209,Ángel Correa,82,ST,RM,29,Argentina,LALIGA EA SPORTS,Atlético de Madrid
210,Marc Cucurella,82,LB,,26,Spain,Premier League,Chelsea
211,Danilo,82,CB,RB,33,Brazil,Serie A Enilive,Juventus
212,Otávio,82,CAM,"RM, CM",29,Portugal,ROSHN Saudi League,Al Nassr
213,Diogo Dalot,82,RB,LB,25,Portugal,Premier League,Man Utd
214,Sergi Darder,82,CM,"CAM, CDM",30,Spain,LALIGA EA SPORTS,RCD Mallorca
215,Alphonso Davies,82,LB,LM,23,Canada,Bundesliga,FC Bayern München
216,Giovanni Di Lorenzo,82,RB,RM,31,Italy,Serie A Enilive,SSC Napoli
217,Brahim,82,CAM,"RW, LW",25,Morocco,LALIGA EA SPORTS,Real Madrid
218,Denzel Dumfries,82,RB,RM,28,Holland,Serie A Enilive,Lombardia FC
219,Edin Džeko,82,ST,,38,Bosnia and Herzegovina,Trendyol Süper Lig,Fenerbahçe
220,Enzo Fernández,82,CM,CDM,23,Argentina,Premier League,Chelsea
221,Nacho Fernández,82,CB,"LB, RB",34,Spain,ROSHN Saudi League,Al Qadisiyah
222,Gabriel Jesus,82,ST,,27,Brazil,Premier League,Arsenal
223,Jorginho,82,CDM,CM,32,Italy,Premier League,Arsenal
224,Pau Torres,82,CB,,27,Spain,Premier League,Aston Villa
225,Niclas Füllkrug,82,ST,,31,Germany,Premier League,West Ham
226,Gayà,82,LB,,29,Spain,LALIGA EA SPORTS,Valencia CF
227,Paulo Gazzaniga,82,GK,,32,Argentina,LALIGA EA SPORTS,Girona FC
228,Matthias Ginter,82,CB,,30,Germany,Bundesliga,SC Freiburg
229,Serge Gnabry,82,RM,"ST, LM, RW",29,Germany,Bundesliga,FC Bayern München
230,Anthony Gordon,82,LW,LM,23,England,Premier League,Newcastle Utd
231,Raphaël Guerreiro,82,LB,CM,30,Portugal,Bundesliga,FC Bayern München
232,Péter Gulácsi,82,GK,,34,Hungary,Bundesliga,RB Leipzig
233,Fabinho,82,CDM,CM,30,Brazil,ROSHN Saudi League,Al Ittihad
234,Yangel Herrera,82,CDM,CM,26,Venezuela,LALIGA EA SPORTS,Girona FC
235,Jonas Hofmann,82,CAM,ST,32,Germany,Bundesliga,Leverkusen
236,Ciro Immobile,82,ST,,34,Italy,Trendyol Süper Lig,Beşiktaş
237,Reece James,82,RB,,24,England,Premier League,Chelsea
